week,restaurant,ctrip,flight ticket,hotel,reservation
27/12/2010,855,29592,13842,1834,171
03/01/2011,946,47325,20079,1748,203
10/01/2011,935,53617,22073,1751,200
17/01/2011,871,53196,23338,1602,186
24/01/2011,826,46550,18636,1454,161
31/01/2011,615,32176,14214,1357,126
07/02/2011,814,40883,18913,2002,179
14/02/2011,929,46077,15800,2196,173
21/02/2011,914,47854,14418,2198,174
28/02/2011,868,46406,13882,2527,190
07/03/2011,921,46492,13581,2437,186
14/03/2011,845,47528,13993,2129,186
21/03/2011,857,48524,14033,2293,188
28/03/2011,832,55912,15221,2391,191
04/04/2011,835,45129,13753,2363,183
11/04/2011,851,54870,15025,2383,193
18/04/2011,854,58180,15708,2793,197
25/04/2011,808,57279,14519,2632,188
02/05/2011,829,47080,13348,2305,182
09/05/2011,854,51278,13899,2349,177
16/05/2011,834,53838,14758,2352,180
23/05/2011,832,53631,14348,2232,187
30/05/2011,763,55345,14609,2215,179
06/06/2011,785,49750,14764,2124,188
13/06/2011,854,56383,15738,2159,185
20/06/2011,762,56111,15988,2204,186
27/06/2011,753,59052,17758,2114,180
04/07/2011,747,63353,18275,2288,188
11/07/2011,788,66595,17695,2411,195
18/07/2011,757,64480,17335,2434,183
25/07/2011,741,62348,16626,2372,173
01/08/2011,776,63177,16994,2392,204
08/08/2011,779,64780,16505,2376,187
15/08/2011,747,64175,18992,2441,204
22/08/2011,784,60550,16716,2589,212
29/08/2011,772,60053,16366,2703,211
05/09/2011,755,62365,16795,2388,210
12/09/2011,741,62584,17635,2349,197
19/09/2011,777,79909,21017,2751,217
26/09/2011,725,84145,20617,2817,208
03/10/2011,724,53252,15438,2120,185
10/10/2011,814,65877,16647,2464,203
17/10/2011,831,63190,15807,2572,200
24/10/2011,849,59535,15073,2481,208
31/10/2011,864,61209,16654,2561,216
07/11/2011,898,58999,17303,2605,216
14/11/2011,922,62967,19395,2597,225
21/11/2011,865,64831,20838,2750,216
28/11/2011,861,68487,27133,3191,211
05/12/2011,1086,71404,29834,2587,221
12/12/2011,1246,67353,32440,2660,225
19/12/2011,1188,70454,29102,2809,226
26/12/2011,1165,80626,28994,2678,246
02/01/2012,1123,79749,35778,2535,247
09/01/2012,1011,85081,34828,3067,222
16/01/2012,818,66632,26379,2161,206
23/01/2012,731,55388,23149,2064,178
30/01/2012,976,71526,27064,2756,222
06/02/2012,1140,69964,25246,3256,226
13/02/2012,1090,68494,23197,3373,223
20/02/2012,1067,68795,22084,3297,231
27/02/2012,1061,68676,22280,3215,235
05/03/2012,1056,71221,23492,3262,238
12/03/2012,1110,74590,24433,3268,227
19/03/2012,1026,80055,25754,5435,231
26/03/2012,1033,95172,27592,3778,250
02/04/2012,1028,65093,23348,3274,231
09/04/2012,1003,79120,24855,3403,225
16/04/2012,916,83795,25667,3345,252
23/04/2012,898,88131,25330,3554,246
30/04/2012,846,62988,19943,2762,214
07/05/2012,923,75754,21555,3102,235
14/05/2012,891,75804,21146,3194,227
21/05/2012,899,74318,21221,3189,223
28/05/2012,925,73725,22065,3100,227
04/06/2012,919,77665,24538,3187,243
11/06/2012,879,85879,25968,3166,258
18/06/2012,800,83224,25509,2964,233
25/06/2012,795,81809,26840,2965,241
02/07/2012,872,91985,27866,3194,223
09/07/2012,815,97064,27237,3184,240
16/07/2012,842,97560,26848,3252,241
23/07/2012,783,91325,25416,3098,229
30/07/2012,805,91997,25712,3009,226
06/08/2012,802,95396,26435,3390,246
13/08/2012,850,98329,27264,3582,245
20/08/2012,864,88961,24328,3385,254
27/08/2012,986,84744,23576,3087,222
03/09/2012,903,89208,25092,3228,250
10/09/2012,839,90584,29291,3016,251
17/09/2012,1186,97468,36309,3204,268
24/09/2012,1013,100996,32895,3352,237
01/10/2012,636,70320,25189,2957,209
08/10/2012,762,76210,28249,2850,232
15/10/2012,830,76228,27693,3015,230
22/10/2012,937,73493,27012,3013,241
29/10/2012,889,68654,26721,2894,232
05/11/2012,889,68376,27575,2863,224
12/11/2012,825,69625,28235,2932,239
19/11/2012,816,72071,28438,2929,260
26/11/2012,756,70065,29209,2713,237
03/12/2012,814,71694,31745,2661,245
10/12/2012,715,91602,40652,2604,264
17/12/2012,737,134874,55222,2763,327
24/12/2012,685,101307,42183,2824,277
31/12/2012,655,68404,33901,2516,239
07/01/2013,676,80452,37919,2678,270
14/01/2013,647,92746,44530,2721,286
21/01/2013,633,78402,38245,2553,247
28/01/2013,625,82386,42019,2502,245
04/02/2013,481,69215,36233,2167,205
11/02/2013,538,75066,39306,2445,191
18/02/2013,686,84682,39970,2845,225
25/02/2013,752,84419,35848,2945,238
04/03/2013,786,82337,34082,2929,241
11/03/2013,792,84473,33248,3124,253
18/03/2013,832,85157,32861,3061,245
25/03/2013,768,86554,31596,3343,224
01/04/2013,739,84160,31750,3538,236
08/04/2013,830,85970,31366,3306,245
15/04/2013,818,87173,30227,3386,251
22/04/2013,800,100030,32044,3663,256
29/04/2013,724,69519,26794,3028,216
06/05/2013,787,78371,28674,2961,235
13/05/2013,795,80055,27624,3105,246
20/05/2013,779,82197,25947,2936,236
27/05/2013,788,83651,35952,3329,241
03/06/2013,806,102107,36333,3471,267
10/06/2013,730,72632,29849,2720,252
17/06/2013,781,86411,32906,3133,241
24/06/2013,700,88627,35340,3155,229
01/07/2013,680,96384,35538,3226,240
08/07/2013,712,98278,33269,3412,231
15/07/2013,714,98166,32505,3300,233
22/07/2013,745,97934,32793,3374,214
29/07/2013,712,98420,32999,3265,240
05/08/2013,689,98385,32883,3087,238
12/08/2013,752,99436,31813,3246,251
19/08/2013,749,95078,31596,2974,234
26/08/2013,749,88717,30028,2898,234
02/09/2013,730,92631,31396,3025,248
09/09/2013,760,103761,35145,3180,256
16/09/2013,684,104344,34202,3053,259
